image,noisy_psnr,denoised_psnr,delta_psnr,noisy_ssim,denoised_ssim,delta_ssim,runtime_seconds,severity,severity_group
83,25.416445403180703,28.48687326190174,3.070427858721036,0.7934296806062223,0.8964270867530582,0.1029974061468358,0.2189107999874977,0.4921358703590843,Low
84,17.27701945595094,22.050670501616743,4.773651045665805,0.4582442624536361,0.6886471701256857,0.2304029076720495,0.199459299998125,1.1355299569821675,High
85,17.739443581672198,21.51761165177077,3.7781680700985767,0.545038189105096,0.6793518981349395,0.1343137090298434,0.2097442999947816,1.205135049282289,High
86,18.06223871104823,22.059898614530717,3.997659903482482,0.4797928455979228,0.6849575781020357,0.2051647325041128,0.199436599999899,1.18635117458766,High
87,18.470219006908955,21.63149006015089,3.16127105324194,0.6874463680779432,0.7792497992664217,0.0918034311884784,0.187562599996454,0.9579490488383416,Medium
88,17.612642261617122,23.66120776251998,6.048565500902857,0.3925076641435777,0.6527384507041046,0.2602307865605269,0.1820036999997683,1.0834695886825372,High
89,22.1265832266735,25.398377289635427,3.271794062961927,0.5205151452584883,0.7147151404272689,0.1941999951687806,0.2060065999976359,0.8188240693504951,Medium
90,27.263670441698565,29.82380291166461,2.560132469966049,0.9179422303074074,0.9529178240023308,0.0349755936949235,0.2043783999979496,0.3793252854405926,Low
91,16.967471380101436,21.748885458223384,4.781414078121948,0.4418846140434403,0.6772887617138791,0.2354041476704387,0.1828454000060446,1.187512959802359,High
92,21.144990247967897,25.91392994971624,4.768939701748341,0.6222378394983251,0.8199428697585103,0.1977050302601851,0.1954089999926509,0.8533095673524976,Medium
93,15.788282325274771,23.28249859450636,7.49421626923159,0.2539384585462136,0.5776483198842018,0.3237098613379882,0.2046602999907918,1.1951535949495589,High
94,16.94314163191057,21.702110475358545,4.758968843447974,0.4817134157254812,0.6572550551542625,0.1755416394287813,0.2140757000015583,1.18625777311656,High
95,26.832505231837654,29.77220457871335,2.939699346875692,0.7864539330908192,0.8893622696982977,0.1029083366074784,0.1776762000081362,0.5398800617720868,Low
